logical_x	logical_y	runtime_x0	runtime_y0	runtime_x1	runtime_y1	expected_rgba	actual_origin_rgba	uniform	mismatch_pixels
17	9	136	72	143	79	#F4F2E8FF	#F4F2E8FF	true	0
18	9	144	72	151	79	#F4F2E8FF	#F4F2E8FF	true	0
19	9	152	72	159	79	#86D7A8FF	#86D7A8FF	true	0
20	9	160	72	167	79	#86D7A8FF	#86D7A8FF	true	0
21	9	168	72	175	79	#F4F2E8FF	#F4F2E8FF	true	0
22	9	176	72	183	79	#F4F2E8FF	#F4F2E8FF	true	0
23	9	184	72	191	79	#F4F2E8FF	#F4F2E8FF	true	0
0	10	0	80	7	87	#00000000	#00000000	true	0
1	10	8	80	15	87	#00000000	#00000000	true	0
2	10	16	80	23	87	#00000000	#00000000	true	0
3	10	24	80	31	87	#00000000	#00000000	true	0
4	10	32	80	39	87	#00000000	#00000000	true	0
5	10	40	80	47	87	#00000000	#00000000	true	0
6	10	48	80	55	87	#00000000	#00000000	true	0
7	10	56	80	63	87	#00000000	#00000000	true	0
8	10	64	80	71	87	#00000000	#00000000	true	0
9	10	72	80	79	87	#00000000	#00000000	true	0
10	10	80	80	87	87	#00000000	#00000000	true	0
11	10	88	80	95	87	#2A3340FF	#2A3340FF	true	0
12	10	96	80	103	87	#F4F2E8FF	#F4F2E8FF	true	0
13	10	104	80	111	87	#F4F2E8FF	#F4F2E8FF	true	0
14	10	112	80	119	87	#F4F2E8FF	#F4F2E8FF	true	0
15	10	120	80	127	87	#F4F2E8FF	#F4F2E8FF	true	0
16	10	128	80	135	87	#F4F2E8FF	#F4F2E8FF	true	0
17	10	136	80	143	87	#F4F2E8FF	#F4F2E8FF	true	0
18	10	144	80	151	87	#F4F2E8FF	#F4F2E8FF	true	0
19	10	152	80	159	87	#F4F2E8FF	#F4F2E8FF	true	0
20	10	160	80	167	87	#F4F2E8FF	#F4F2E8FF	true	0
21	10	168	80	175	87	#F4F2E8FF	#F4F2E8FF	true	0
22	10	176	80	183	87	#F4F2E8FF	#F4F2E8FF	true	0
23	10	184	80	191	87	#F4F2E8FF	#F4F2E8FF	true	0
0	11	0	88	7	95	#00000000	#00000000	true	0
1	11	8	88	15	95	#00000000	#00000000	true	0
2	11	16	88	23	95	#00000000	#00000000	true	0
3	11	24	88	31	95	#00000000	#00000000	true	0
4	11	32	88	39	95	#00000000	#00000000	true	0
5	11	40	88	47	95	#00000000	#00000000	true	0
6	11	48	88	55	95	#00000000	#00000000	true	0
7	11	56	88	63	95	#00000000	#00000000	true	0
