frame	state	pose	rgba_sha256
62	running	work-down	3a10586951a62ed681836d78f5850a8c333d0bea51b84585c20817f766806ff9
63	running	work-up	e3bbaa00ab7c67c39d83db143e98635225b5f722e6c9f67b08e7e2d765980694
64	review	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
65	review	review-glance	c0a1aedeb11449492e33b79d8a459ab0eedc0de1d2c3723f840c23ceb503aa79
66	review	review-glance	c0a1aedeb11449492e33b79d8a459ab0eedc0de1d2c3723f840c23ceb503aa79
67	review	blink	fb144a32fb2fc5bed451398536bd18d2d617e7ff136b591a84c6575de9e939e9
68	review	review-glance	c0a1aedeb11449492e33b79d8a459ab0eedc0de1d2c3723f840c23ceb503aa79
69	review	review-glance	c0a1aedeb11449492e33b79d8a459ab0eedc0de1d2c3723f840c23ceb503aa79
70	review	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
71	review	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
