frame	state	pose	file	file_sha256	rgba_sha256	width	height	pixel_mismatches
44	failed	failed	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_044.png	2a8078e97079aa5b7fc464d14fd4c309161b3f20cb695ddfb82e44c0232448b6	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3	192	208	0
45	failed	failed-blink	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_045.png	f05b59e8c1c4a10cf75c07bc0ad3c74d34f2ba47700ad1996700e33d0bc01dfc	4f10d1473267b226bfa286aed5c6563cf51266a6f6727b81b57c547c8e20fdab	192	208	0
46	failed	failed	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_046.png	2a8078e97079aa5b7fc464d14fd4c309161b3f20cb695ddfb82e44c0232448b6	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3	192	208	0
47	failed	failed	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_047.png	2a8078e97079aa5b7fc464d14fd4c309161b3f20cb695ddfb82e44c0232448b6	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3	192	208	0
48	waiting	canonical	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_048.png	c67e9c12b646e70bb10e4e32e22a8bec83094eb29319fdcc62221460fcfc4450	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d	192	208	0
49	waiting	waiting	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_049.png	543133f0f45aa523ee41829615e17ef42dd7d71bb151c1b0892fb712828450a0	03609ad73baa851f38447c1396132225c387b6f41a1d259754e735a8b87dc3ca	192	208	0
50	waiting	waiting	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_050.png	543133f0f45aa523ee41829615e17ef42dd7d71bb151c1b0892fb712828450a0	03609ad73baa851f38447c1396132225c387b6f41a1d259754e735a8b87dc3ca	192	208	0
51	waiting	blink	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_051.png	43d9fbcee86b5664d2a705f3fbf3c1da71406164312aea98a2f822618d458e23	fb144a32fb2fc5bed451398536bd18d2d617e7ff136b591a84c6575de9e939e9	192	208	0
52	waiting	waiting	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_052.png	543133f0f45aa523ee41829615e17ef42dd7d71bb151c1b0892fb712828450a0	03609ad73baa851f38447c1396132225c387b6f41a1d259754e735a8b87dc3ca	192	208	0
53	waiting	waiting	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_053.png	543133f0f45aa523ee41829615e17ef42dd7d71bb151c1b0892fb712828450a0	03609ad73baa851f38447c1396132225c387b6f41a1d259754e735a8b87dc3ca	192	208	0
54	waiting	tail-lift	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_054.png	c1bea3dc59989fbf219b1b6d9e0b15c7192e015ea7813a94309b17849c989a49	01e87a38df1c52471a3776443d466ddac9551dadf4ec81bc07dee5f6a8789137	192	208	0
55	waiting	canonical	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_055.png	c67e9c12b646e70bb10e4e32e22a8bec83094eb29319fdcc62221460fcfc4450	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d	192	208	0
56	running	work-up	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_056.png	fe577d348bcf79ebef46ee0d9e5cf3bac049fbd1d5b5e6f3bba2fbb2767f5260	e3bbaa00ab7c67c39d83db143e98635225b5f722e6c9f67b08e7e2d765980694	192	208	0
57	running	work-up	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_057.png	fe577d348bcf79ebef46ee0d9e5cf3bac049fbd1d5b5e6f3bba2fbb2767f5260	e3bbaa00ab7c67c39d83db143e98635225b5f722e6c9f67b08e7e2d765980694	192	208	0
58	running	work-down	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_058.png	b8cd95ab97b856af77a0d192a507101c28cd53756c26b33c8203a2e8cbc6e66a	3a10586951a62ed681836d78f5850a8c333d0bea51b84585c20817f766806ff9	192	208	0
59	running	work-down	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_059.png	b8cd95ab97b856af77a0d192a507101c28cd53756c26b33c8203a2e8cbc6e66a	3a10586951a62ed681836d78f5850a8c333d0bea51b84585c20817f766806ff9	192	208	0
